# index, name, color, _pos
0,pns1,FFCCFEF7,"array([-0.19201638, 22.47989432])"
1,pns10,FFCCFEF7,"array([-0.20896129, 22.43430293])"
2,pns11,FFCCFEF7,"array([-0.14798998, 22.44261972])"
3,pns12,FFCCFEF7,"array([-0.17476145, 22.46089482])"
4,pns13,FFCCFEF7,"array([-0.23826991, 22.51707751])"
5,pns14,FFCCFEF7,"array([-0.16720968, 22.49647421])"
6,pns2,FFCCFEF7,"array([-0.21749878, 22.49955974])"
7,pns3,FFCCFEF7,"array([-0.18830593, 22.5298162 ])"
8,pns4,FFCCFEF7,"array([-0.19284011, 22.50608983])"
9,pns5,FFCCFEF7,"array([-0.17764547, 22.43797758])"
10,pns6,FFCCFEF7,"array([-0.2474532 , 22.47495088])"
11,pns7,FFCCFEF7,"array([-0.18379734, 22.41259085])"
12,pns9,FFCCFEF7,"array([-0.20941809, 22.46641882])"
13,ATEN1,FF40B7AC,"array([-0.21413796, 22.55285275])"
14,ATEN2,FF40B7AC,"array([-0.23081264, 22.44476767])"
15,ATEN3,FF40B7AC,"array([-0.1776396 , 22.35160289])"
16,ATEN4,FF40B7AC,"array([-0.21021465, 22.39342202])"
17,pna,FF40B7AC,"array([-0.19663757, 22.28934194])"
18,pnb,FF40B7AC,"array([-0.15222345, 22.2809463 ])"
19,pnc,FF40B7AC,"array([-0.23295905, 22.31971276])"
20,pnf,FF40B7AC,"array([-0.2694087 , 22.32831378])"
21,pnh,FF40B7AC,"array([-0.28751286, 22.43095796])"
22,pnu,FF40B7AC,"array([-0.36015881, 22.32462979])"
23,pnx,FF40B7AC,"array([-0.14148284, 22.67174831])"
24,coronet1,FFFF6C00,"array([-1.63172204e-02,  2.27290824e+01])"
25,coronet11,FFFF6C00,"array([ 0.0826979 , 22.75064242])"
26,coronet12,FFFF6C00,"array([-0.18341647, 22.73425393])"
27,coronet14,FFFF6C00,"array([-0.06622454, 22.70815802])"
28,coronet16,FFFF6C00,"array([-0.11170442, 22.7272723 ])"
29,coronet2,FFFF6C00,"array([-0.07241224, 22.74374411])"
30,coronet3,FFFF6C00,"array([-0.13569117, 22.80154486])"
31,coronet4,FFFF6C00,"array([9.65036867e-03, 2.27432201e+01])"
32,coronet6,FFFF6C00,"array([ 0.03503388, 22.79621066])"
33,coronet7,FFFF6C00,"array([-0.03038817, 22.76747223])"
34,coronet8,FFFF6C00,"array([-0.0731805 , 22.78686355])"
35,coronet9,FFFF6C00,"array([ 0.10372171, 22.61388518])"
36,pr1,FFAE56FF,"array([ 0.07568061, 22.48722334])"
37,pr10,FFAE56FF,"array([ 0.08655166, 22.54393158])"
38,pr11,FFAE56FF,"array([ 0.05438222, 22.56972756])"
39,pr12,FFAE56FF,"array([ 0.09575466, 22.49801109])"
40,pr13,FFAE56FF,"array([ 0.1439479 , 22.57098395])"
41,pr14,FFAE56FF,"array([ 0.07137342, 22.5622564 ])"
42,pr15,FFAE56FF,"array([ 0.10438846, 22.59014226])"
43,pr16,FFAE56FF,"array([ 0.13192923, 22.52704839])"
44,pr17,FFAE56FF,"array([ 0.11645504, 22.50781036])"
45,pr18,FFAE56FF,"array([ 0.10186379, 22.52222333])"
46,pr19,FFAE56FF,"array([ 0.15698328, 22.54141501])"
47,pr2,FFAE56FF,"array([ 0.05858625, 22.52277945])"
48,pr20,FFAE56FF,"array([ 0.06061206, 22.50098278])"
49,pr21,FFAE56FF,"array([ 0.1110738 , 22.54355584])"
50,pr22,FFAE56FF,"array([ 0.09442292, 22.56615629])"
51,pr23,FFAE56FF,"array([ 0.11718095, 22.56751831])"
52,pr3,FFAE56FF,"array([ 0.06436391, 22.58694867])"
53,pr4,FFAE56FF,"array([ 0.07710479, 22.61666904])"
54,pr5,FFAE56FF,"array([ 0.12684452, 22.59173252])"
55,pr6,FFAE56FF,"array([ 0.06046358, 22.54021315])"
56,pr7,FFAE56FF,"array([ 0.0813849 , 22.59125192])"
57,pr8,FFAE56FF,"array([ 0.08417182, 22.51585776])"
58,pr9,FFAE56FF,"array([ 0.13028992, 22.55117157])"
59,pra,FF562F76,"array([ 0.15307652, 22.51249122])"
60,prb,FF562F76,"array([ 0.12039602, 22.45197125])"
61,prc,FF562F76,"array([ 0.1409512 , 22.49191218])"
62,prd,FF562F76,"array([ 0.12368453, 22.4778376 ])"
63,pre,FF562F76,"array([ 0.09413001, 22.46197219])"
64,prf,FF562F76,"array([ 0.07803618, 22.44437343])"
65,prg,FF562F76,"array([ 0.20666706, 22.60233054])"
66,lens7,FFE0BAFF,"array([ 0.06858443, 22.68939839])"
67,101,FFE0BAFF,"array([ 0.09926035, 22.6684105 ])"
68,110,FFE0BAFF,"array([ 0.14387126, 22.72388271])"
69,113,FFE0BAFF,"array([ 0.13040189, 22.6523881 ])"
70,114,FFE0BAFF,"array([ 0.03274575, 22.61241548])"
71,107,FFE0BAFF,"array([-2.23412032e-02,  2.26001906e+01])"
72,Ant1,FF006305,"array([-0.07741023, 22.53174537])"
73,Ant2,FF006305,"array([-0.08354589, 22.55757697])"
74,4,FF84FEF9,"array([-0.14184303, 22.49014926])"
75,6,FF84FEF9,"array([-0.15999645, 22.40411959])"
76,20,FF84FEF9,"array([-0.12564315, 22.44441867])"
77,25,FF84FEF9,"array([-0.13745132, 22.46603465])"
78,29,FF84FEF9,"array([-0.10973094, 22.51122503])"
79,30,FF84FEF9,"array([-0.11896986, 22.49004634])"
80,61,FF84FEF9,"array([-0.10884189, 22.4641011 ])"
81,160,FF84FEF9,"array([-0.09794727, 22.48420926])"
82,162,FF84FEF9,"array([-0.08328083, 22.5126353 ])"
83,163,FF84FEF9,"array([-0.13872804, 22.51644563])"
84,164,FF84FEF9,"array([-0.04527482, 22.44749352])"
85,177,FF84FEF9,"array([-1.71395443e-02,  2.25813724e+01])"
86,181,FF84FEF9,"array([-0.14676509, 22.60817962])"
87,vacIN1,FFEBFB00,"array([-6.76985228e-04,  2.26914058e+01])"
88,trIN,FFFFDD00,"array([ 0.04309173, 22.5946614 ])"
89,1,FFF8CBAD,"array([-0.02738469, 22.65564049])"
90,2,FFF8CBAD,"array([-0.07163893, 22.65849014])"
91,15,FFF8CCAD,"array([ 0.03158881, 22.65704245])"
92,23,FFF8CBAD,"array([-0.04352315, 22.61559119])"
93,38,FFF8CCAD,"array([-2.17117238e-03,  2.26607172e+01])"
94,55,FFF8CCAD,"array([-0.06102808, 22.58539339])"
95,59,FFF8CBAD,"array([-0.08457952, 22.58049111])"
96,60,FFF8CBAD,"array([-0.13169939, 22.58111211])"
97,62,FFF8CBAD,"array([ 0.05125914, 22.61823281])"
98,65,FFF8CBAD,"array([-0.09782749, 22.54229839])"
99,68,FFF8CBAD,"array([9.33884277e-03, 2.26308665e+01])"
100,70,FFF8CBAD,"array([ 0.02307645, 22.59094535])"
101,73,FFF8CBAD,"array([-0.04769941, 22.64729623])"
102,78,FFF8CBAD,"array([1.22944771e-02, 2.26480352e+01])"
103,79,FFF8CBAD,"array([-0.06228591, 22.63351525])"
104,ukn,FFFFDEFF,"array([-0.0807988 , 22.62161645])"
105,ukn2,FFFFDEFF,"array([-0.04415196, 22.66702432])"
106,3,FFFFDEFF,"array([-0.08064156, 22.60128637])"
107,13,FFFFDEFF,"array([ 0.05311319, 22.65990412])"
108,17,FFFFDEFF,"array([-1.05390829e-02,  2.26364864e+01])"
109,18,FFFFDEFF,"array([-1.95402517e-02,  2.26758880e+01])"
110,21,FFFFDEFF,"array([-0.09650126, 22.64690496])"
111,22,FFFFDEFF,"array([ 0.02649231, 22.68144348])"
112,24,FFFFDEFF,"array([-0.09918814, 22.68155005])"
113,33,FFFFDEFF,"array([ 0.0365093 , 22.72182911])"
114,41,FFFFDEFF,"array([-0.11316743, 22.5952623 ])"
115,42,FFFFDEFF,"array([-0.0615168 , 22.60723563])"
116,43,FFFFDEFF,"array([ 0.09568188, 22.88446929])"
117,46,FFFFDEFF,"array([-0.13537504, 22.38502245])"
118,48,FFFFDEFF,"array([-0.03833774, 22.69530052])"
119,50,FFFFDEFF,"array([ 0.0644333 , 22.64030557])"
120,85,FFFFDEFF,"array([-0.15463989, 22.55119178])"
121,88,FFFFDEFF,"array([-0.12006024, 22.53891457])"
122,16,FFF8FFAD,"array([-0.02981095, 22.63198707])"
123,57,FFF8FFAD,"array([-0.11833309, 22.62259613])"
124,138,FFCFBBFF,"array([ 0.03485225, 22.63396153])"
125,90,FFFF9BDA,"array([ 0.04421016, 22.54879333])"
126,92,FFFF9BDA,"array([-0.03502983, 22.5845686 ])"
127,aaIN1,FFFFFF00,"array([-9.23555974e-03,  2.26136927e+01])"
128,aaIN2,FFFFFF00,"array([1.07482968e-02, 2.26055080e+01])"
129,aaIN3,FFFFFF00,"array([-0.03526095, 22.54282832])"
130,5,00000000,"array([-0.09004609, 22.45612858])"
131,35,00000000,"array([-0.08001116, 22.43506855])"
132,131,FF00FDF4,"array([-0.0734754 , 22.49112689])"
133,Em1,FF00FBA7,"array([-0.07494179, 22.46904573])"
134,Em2,FF00FBA7,"array([-0.05303648, 22.46882733])"
135,74,FFAA2080,"array([ 0.03184678, 22.47071351])"
136,94,FFAA2080,"array([-9.19188649e-03,  2.25118352e+01])"
137,108,FFAA2080,"array([1.38460189e-02, 2.24607380e+01])"
138,116,FFAA2080,"array([8.97766039e-03, 2.24809063e+01])"
139,123,FFAA2080,"array([ 0.03487092, 22.52989135])"
140,124,FFAA2080,"array([-1.14190693e-02,  2.24815754e+01])"
141,127,FFAA2080,"array([-0.02463118, 22.46685388])"
142,130,FFAA2080,"array([ 0.03757627, 22.50999711])"
143,140,FFAA2080,"array([-0.03450864, 22.52512251])"
144,157,FFAA2080,"array([-0.02823193, 22.51282169])"
145,80,FFFF3DEE,"array([-7.19897583e-04,  2.25404825e+01])"
146,86,FFFF3DEE,"array([1.87985377e-02, 2.25698616e+01])"
147,96,FFFF3DEE,"array([-3.91525324e-03,  2.25609775e+01])"
148,100,FFFF3DEE,"array([3.64831841e-03, 2.25749688e+01])"
149,126,FFFF3DEE,"array([ 0.0253802 , 22.55041703])"
150,121,FFFF3DEE,"array([1.63545375e-02, 2.25385007e+01])"
151,105,FFFFC000,"array([9.38021316e-03, 2.25549311e+01])"
152,112,FFFFC000,"array([ 0.03388133, 22.5645607 ])"
153,119,FFFFC000,"array([-3.23897685e-03,  2.25952768e+01])"
154,120,FF9BB141,"array([-0.04311092, 22.55703062])"
155,134,FF92D050,"array([-1.86399544e-02,  2.25447787e+01])"
156,135,FF92D050,"array([2.16011946e-02, 2.24935892e+01])"
157,142,FF92D050,"array([-1.14867691e-02,  2.25261647e+01])"
158,143,FF92D050,"array([-0.02428593, 22.56144864])"
159,147,FF92D050,"array([-1.82222788e-02,  2.24990094e+01])"
160,152,FF92D050,"array([6.77514815e-03, 2.25172276e+01])"
161,153,FF92D050,"array([-0.04271873, 22.50405623])"
162,159,FF92D050,"array([1.97857531e-02, 2.25113388e+01])"
163,161,FF92D050,"array([2.98499498e-03, 2.25000994e+01])"
164,93,FFCCBB72,"array([-0.057     , 22.53934516])"
165,106,FFCCBB72,"array([-0.03147265, 22.48694488])"
166,122,FFCCBB72,"array([ 0.05293265, 22.45888206])"
167,125,FFCCBB72,"array([-0.05848066, 22.51729396])"
168,103,FFCCBB72,"array([-0.05666137, 22.48558047])"
169,NeckNL,FF404040,"array([-0.08949722, 22.36086437])"
170,NeckNR,FF404040,"array([-0.05903635, 22.34967356])"
171,AMG1,FF810E22,"array([-0.06277428, 22.37439557])"
172,AMG2,FF810E22,"array([-0.09999819, 22.40538291])"
173,AMG3,FF810E22,"array([-0.06527228, 22.40040811])"
174,AMG4,FF810E22,"array([-0.06182309, 22.4360495 ])"
175,AMG5,FF810E22,"array([-0.08868427, 22.38468125])"
176,AMG6,FF810E22,"array([-0.04177504, 22.39731706])"
177,AMG7,FF810E22,"array([-7.57164658e-03,  2.24327870e+01])"
178,ddNL,FF006055,"array([2.43774650e-03, 2.24140941e+01])"
179,ddNR,FF006055,"array([-1.22755663e-02,  2.23717955e+01])"
180,MGIN1L,FF00F700,"array([-9.34658191e-03,  2.24506434e+01])"
181,MGIN1R,FF00F700,"array([-0.02647598, 22.43571595])"
182,MGIN2L,FF00F700,"array([ 0.03132977, 22.44011342])"
183,MGIN2R,FF00F700,"array([1.13246751e-02, 2.24398019e+01])"
184,MGIN3L,FF00F700,"array([-0.0249526 , 22.40820531])"
185,MGIN3R,FF00F700,"array([-0.03321812, 22.335195  ])"
186,MN1L,FF0336FF,"array([7.21559032e-03, 2.23827406e+01])"
187,MN1R,FF0336FF,"array([-7.00657343e-03,  2.23963214e+01])"
188,MN2L,FF0336FF,"array([ 0.02592248, 22.37213749])"
189,MN2R,FF0336FF,"array([ 0.03859199, 22.39903175])"
190,MN3L,FF0336FF,"array([ 0.06101674, 22.40934788])"
191,MN3R,FF0336FF,"array([ 0.09268645, 22.36121808])"
192,MN4L,FF0336FF,"array([ 0.05247179, 22.37413654])"
193,MN4R,FF0336FF,"array([-8.66449658e-03,  2.23236095e+01])"
194,MN5L,FF0336FF,"array([1.49910362e-02, 2.23391745e+01])"
195,MN5R,FF0336FF,"array([1.99435532e-02, 2.23108746e+01])"
196,ACIN1L,FFBFBFBF,"array([ 0.04022046, 22.34581025])"
197,ACIN2L,FFBFBFBF,"array([ 0.04074219, 22.28471446])"
198,ACIN2R,FFBFBFBF,"array([ 0.05888107, 22.31749934])"
199,PMGN1,FF5E2100,"array([-0.03047962, 22.30157256])"
200,PMGN2,FF5E2100,"array([ 0.10746759, 22.3193268 ])"
201,midtail1,FF00DDFF,"array([-0.04844996, 22.41926459])"
202,midtail2,FF00DDFF,"array([-0.07905796, 22.41466593])"
203,midtail4,FF00DDFF,"array([ 0.02282632, 22.4164611 ])"
204,midtail7,FF00DDFF,"array([-0.03847514, 22.37384851])"
