# index, _graphml_vertex_id, _pos
0,TS-dot Engineering Ltd.,"array([2.74286065, 3.03090657])"
1,HealthWEST,"array([2.59316329, 3.10844431])"
2,Guardian Health Care (Bupa),"array([2.56670813, 3.11524895])"
3,Otago Museum,"array([2.66556114, 2.97979468])"
4,Dynamic Controls Ltd.,"array([2.6623534 , 3.02264571])"
5,Education House,"array([2.96514131, 3.76836074])"
6,Anglesea Medical Properties Ltd,"array([2.62953719, 3.04354107])"
7,Fisher and Paykel Healthcare Ltd.,"array([2.61774164, 3.03376015])"
8,High Performance Sport New Zealand,"array([2.54134809, 3.00281366])"
9,Greerton Early Childhood Centre,"array([2.75995452, 3.0007096 ])"
10,Crown Fibre Holdings Limited,"array([2.56731279, 2.2035709 ])"
11,QE Health,"array([2.53885949, 3.09813974])"
12,Eli Lilly and Company (New Zealand) Limited,"array([2.60840549, 3.10983152])"
13,Global Action for Health Equity Network (HealthGAEN),"array([2.55588978, 2.85248102])"
14,Amalgamates Solutions and Research Ltd.,"array([2.76321454, 2.95489452])"
15,New Zealand Institute of Community Health Care,"array([2.6938214 , 3.08197939])"
16,Fisher and Paykel Appliances,"array([2.51107429, 3.16188972])"
17,Quay Park Medical Centre,"array([2.61298455, 3.11685826])"
18,Harker Underground Construction Limited,"array([2.80429121, 3.04531536])"
19,Green Lane Hospital,"array([2.58682586, 3.19732021])"
20,Te Pou,"array([2.58330167, 3.1237405 ])"
21,Alcohol Healthwatch Trust,"array([2.48052879, 3.09053607])"
22,Otago Community Hospice,"array([2.70954773, 3.06487083])"
23,Akaroa Medical Centre,"array([2.64961245, 3.19861484])"
24,Beca,"array([2.68747325, 3.03156732])"
25,New Zealand Cricket,"array([2.47786017, 2.9863939 ])"
26,Cape Kidnappers and Ocean Beach Wildlife Preserve,"array([2.44898136, 3.06690684])"
27,Wicksteed Medical Services Whanganui Regional PHO,"array([2.52360282, 2.9685311 ])"
28,Cameron Medical Clinic,"array([2.68345226, 3.08315911])"
29,Edmund Lawler and Associates Limited,"array([2.7956311 , 3.00216005])"
30,Meteorological Service of New Zealand Ltd.,"array([2.68495917, 2.98766049])"
31,Carson Associates Ltd.,"array([2.78427905, 2.878952  ])"
32,The Breast Centre,"array([2.77283458, 2.99447777])"
33,Pathlab,"array([2.57445679, 3.10495263])"
34,Livestock Solutions and Services,"array([2.55913206, 2.89020095])"
35,Mental Health Foundation of New Zealand,"array([2.55516697, 3.0141205 ])"
36,Cambridge Veterinary Services,"array([2.58260453, 2.89470246])"
37,Mt. Aspiring Geochemical Ltd.,"array([2.68825287, 2.82426937])"
38,Hamilton Zoo,"array([2.61571168, 2.9921012 ])"
39,Roche Products Limited,"array([2.55885129, 3.12344454])"
40,The Life Flight Trust,"array([2.68666561, 3.13295686])"
41,AC Research Associates,"array([2.55772473, 3.10323042])"
42,Crawford Medical Centre,"array([2.4883345 , 3.02076435])"
43,Plant and Food Research,"array([2.59250392, 2.9471293 ])"
44,New Zealand Transport Agency,"array([2.70683178, 3.0931181 ])"
45,Eastland Veterinary Services Ltd.,"array([2.52893535, 2.92083746])"
46,IPENZ,"array([2.6716991 , 3.03493509])"
47,PHARMAC,"array([2.60211301, 3.08385186])"
48,Energy Efficiency and Conservation Authority,"array([2.67894241, 3.03094063])"
49,Landcare Research,"array([2.66662905, 2.95002504])"
50,HEB Construction,"array([2.76728244, 3.15126653])"
51,StretchSense Ltd,"array([2.50915922, 3.11509205])"
52,CH and Associates,"array([2.67885101, 2.91962297])"
53,OSPRI,"array([2.63223189, 2.96188038])"
54,LightBox Psychology Services,"array([2.74019479, 3.09163878])"
55,West Coast Primary Health Organisation,"array([2.74584545, 3.12213672])"
56,South Canterbury District Health Board,"array([2.61819396, 3.08831219])"
57,Otago Polytechnic,"array([2.64495358, 3.03348086])"
58,New Zealand Heart and Lung Transplant Service,"array([2.54445998, 3.09166269])"
59,Agri-Optic NZ Ltd.,"array([2.58767419, 2.84084069])"
60,Symes de Silva House,"array([2.74855779, 3.13173268])"
61,Syngenta Crop Protection Ltd.,"array([2.54792056, 2.95208973])"
62,Common Ground Ltd,"array([2.67162577, 2.92703562])"
63,Auckland Heart Group,"array([2.55923739, 3.0840176 ])"
64,Western Springs College,"array([2.77144314, 3.02288642])"
65,Aorangi Veterinary Services,"array([2.46351427, 2.9126753 ])"
66,Nielsen Company,"array([2.51656309, 3.06409897])"
67,Dairy Production Systems Ltd.,"array([2.71064991, 2.74346191])"
68,Oritain Global Ltd.,"array([2.7463262 , 3.16898034])"
69,Applied Research Associates New Zealand,"array([2.78415777, 2.98018775])"
70,Rotorua General Practice Group,"array([2.62180822, 3.12725638])"
71,Whatever It Takes (WIT),"array([2.73433145, 3.15603184])"
72,Upper Hutt City Library,"array([2.74673685, 3.05982108])"
73,PriceWaterhouse Coopers (PwC),"array([2.64631945, 3.0093402 ])"
74,Ruaimoko Productions and Consultancy Ltd.,"array([2.71885115, 3.18780934])"
75,Air Quality Ltd.,"array([2.56889679, 3.04154161])"
76,AgriQuality Limited,"array([2.50425555, 2.87833066])"
77,Occupational Medicine Specialists,"array([2.57483915, 2.86717561])"
78,Supporters of Tiritiri Matangi,"array([2.68628937, 2.89277439])"
79,Pinnacle Group Ltd,"array([2.54738539, 3.0088919 ])"
80,Orca Research Trust,"array([2.55252103, 2.82068963])"
81,Interpine,"array([2.75501166, 2.94450523])"
82,Turanga Health,"array([2.6433159 , 3.07923564])"
83,Te Puna Hauora Medical Centre,"array([2.61718355, 3.20597077])"
84,NZ Strong Construction,"array([2.77481018, 3.20067526])"
85,PollenPlus Ltd.,"array([1.88295957, 2.65870267])"
86,Skin Centre,"array([2.53612387, 3.07430704])"
87,Hospice Palliative Care Education,"array([2.71632739, 3.07173275])"
88,New Zealand Police,"array([2.59409165, 3.02414406])"
89,The Boardroom Practice Limited,"array([2.4656977 , 2.96299029])"
90,Tipu Ora Community Dental Service,"array([2.59150906, 3.12372617])"
91,Genesis Research & Development Corporation Ltd,"array([2.60997462, 3.13697351])"
92,Samantha Gray Consulting,"array([2.5584095 , 2.90120569])"
93,Magic Sparks Early Learning and Development Centre,"array([2.68905203, 3.0454631 ])"
94,Environment Protection Authority(EPA),"array([2.64275391, 2.94272629])"
95,Enviro Research,"array([2.68156762, 2.83376105])"
96,Earthtech Consulting Limited,"array([2.48451289, 3.12399385])"
97,Tairawhiti District Health Board,"array([2.61941049, 3.06263069])"
98,DNA Investments Ltd.,"array([2.66247292, 2.85251998])"
99,New Zealand Olympic Committee,"array([2.69533116, 3.17006718])"
100,Market Economics Ltd.,"array([2.60205658, 2.84709385])"
101,New Zealand Merino Company Ltd.,"array([2.63027693, 2.84431879])"
102,MidCentral District Health Board,"array([2.6101475, 3.0744492])"
103,New Zealand Brain Research Institute,"array([2.64346197, 3.05384608])"
104,Blue Water Marine Research,"array([2.57479371, 2.99021343])"
105,Dairy Goat Co-operative (NZ) Ltd.,"array([2.62256314, 2.9582552 ])"
106,International Society for Skiing Safety,"array([2.54296964, 3.01797226])"
107,Cropmark Seeds Limited,"array([2.66404037, 2.89832873])"
108,Erin Park,"array([2.55976187, 3.11129958])"
109,PipeTechnologies,"array([2.5688248 , 3.14966503])"
110,Visitor Solutions,"array([2.64012109, 2.91600234])"
111,New Zealand Tertiary College,"array([2.52445936, 3.01351487])"
112,W. M. Consultancy Ltd,"array([2.70978744, 2.82780826])"
113,Raukatauri Music Therapy Centre,"array([2.49029954, 3.11578371])"
114,Te Whare o Ngati Kahu Hauora,"array([2.72630099, 3.17109048])"
115,Orthotic Centre Wellington Ltd,"array([2.5006335 , 2.96190235])"
116,Te Piriti Special Treatment Unit,"array([2.79807454, 2.95434711])"
117,University of Auckland,"array([2.57192375, 3.05780982])"
118,Community Clinic for Sexual Health and Contraception,"array([2.51129134, 3.09539727])"
119,Turitea Observatory,"array([2.63137324, 3.02285586])"
120,Diagnostic Medlab,"array([2.56067248, 3.03802136])"
121,New Zealand Arable,"array([2.65169627, 2.83595657])"
122,Far North District Council,"array([2.60546761, 2.88336009])"
123,IWM Consultancy,"array([2.61692777, 2.77764943])"
124,Norske Skog Tasman,"array([2.47907875, 3.06535936])"
125,Revolution Fibres Ltd,"array([2.63674366, 3.00127866])"
126,Otago Regional Council,"array([2.68339948, 2.94728267])"
127,Mark L Batchelar Consulting Engineers,"array([2.79413184, 3.08149053])"
128,Heavy Engineering Research Association,"array([2.63740919, 3.1125649 ])"
129,West Coast Regional Council,"array([2.70495636, 2.94094793])"
130,Contract Landscapes Ltd,"array([2.74919067, 2.93633211])"
131,Milton Health Centre,"array([2.70858307, 3.17075773])"
132,Auckland Institute of Studies,"array([2.53209488, 2.96312583])"
133,Silvester Clark,"array([2.73446233, 3.01385798])"
134,Animal Dermatology NZ,"array([2.57878478, 2.90185449])"
135,Total Mums Physiotherapy,"array([2.48648419, 2.97578633])"
136,Society of Breast Surgeons of Australia and New Zealand,"array([2.4551416 , 3.09577381])"
137,Kompass Health Associates,"array([2.48842414, 2.9483983 ])"
138,Vector Ltd.,"array([2.520503  , 3.15780177])"
139,Masters Consulting Ltd.,"array([2.57411099, 2.92488886])"
140,FEM Ltd.,"array([3.44055468, 2.89380658])"
141,OPSM,"array([2.61548899, 3.15922114])"
142,Worksafe NZ,"array([2.54063705, 2.85078812])"
143,Coastline Consultants,"array([2.76467169, 2.86391586])"
144,Alcohol Harm Minimisation Advisory Group,"array([2.68081289, 3.1174794 ])"
145,Porirua City Council,"array([2.71758105, 3.14580494])"
146,Lakes District Health Board,"array([2.58300882, 3.04580478])"
147,Office of the Health and Disability Commissioner,"array([2.48212655, 3.09912139])"
148,AFTpharmaceuticals,"array([2.44159636, 3.03443843])"
149,Antipodean Pharmaceuticals,"array([2.64731013, 3.1212703 ])"
150,Betta Bees Research Ltd,"array([2.6822273 , 3.15615459])"
151,Ground Investigation Ltd,"array([2.47911106, 3.14005357])"
152,Poultry Industry Association of New Zealand,"array([2.59345975, 2.91341301])"
153,Social Research Consultant,"array([2.5085701 , 2.98585555])"
154,Resource Teacher: Learning and Behaviour,"array([2.5250425, 3.1250987])"
155,Stock Monitoring Services Ltd,"array([2.62924271, 2.97506966])"
156,Kurahaupo Consulting,"array([2.69613757, 2.8562627 ])"
157,Blind Foundation,"array([2.55114001, 2.83455529])"
158,Titanox Development Ltd,"array([2.43835336, 3.06187363])"
159,Jade Software Corporation,"array([2.72280447, 3.09799904])"
160,Greenweaver Architecture Ltd,"array([2.75947347, 3.01842452])"
161,RML Engineering,"array([2.78725333, 2.95859242])"
162,Maungatautari Ecological Island Trust,"array([2.64486062, 2.88279962])"
163,Bodeker Scientific,"array([2.72093865, 3.01676007])"
164,Academic Colleges Group New Zealand,"array([2.5273351 , 3.14160044])"
165,Bartonk Solutions,"array([2.73430779, 2.92689051])"
166,Te Arawa Lakes Trust,"array([2.50346274, 2.91805196])"
167,Centre for Dairy Excellence,"array([2.57908444, 2.85907854])"
168,Pakuranga Medical Centre,"array([2.55601847, 3.16703874])"
169,Chiefs Super Rugby Franchise,"array([2.56840807, 3.0498407 ])"
170,Youth Mentoring Network,"array([2.47807958, 3.00021971])"
171,The Champion Centre,"array([2.80467697, 3.05481851])"
172,Te Awamutu Medical Centre,"array([2.45190572, 3.04984268])"
173,Watercare Services Ltd.,"array([2.62935833, 3.12149192])"
174,New Zealand Institute for Plastic and Cosmetic Surgery,"array([2.73596664, 3.14669999])"
175,New Zealand Veterinary Pathology Ltd.,"array([2.55507244, 2.97514885])"
176,Coast and Catchment Ltd,"array([2.60286647, 2.98178317])"
177,Koti Technologies,"array([2.80688321, 3.02420071])"
178,Xero,"array([2.77456084, 2.95268873])"
179,Tait Communications,"array([2.74057967, 3.1002469 ])"
180,New Zealand School of Music,"array([2.78799542, 3.03360443])"
181,Synergia Ltd,"array([2.61049963, 3.03272952])"
182,Plant Protection Chemistry NZ Ltd,"array([2.63959909, 2.86558069])"
183,ABB Power Quality,"array([2.81334007, 3.04061685])"
184,Malaghan Institute of Medical Research,"array([2.62750696, 3.00914454])"
185,Biomatters Ltd.,"array([2.60361323, 3.14304873])"
186,Wellington Free Ambulance,"array([2.64725235, 3.06593708])"
187,45 South Management Ltd.,"array([2.49832619, 2.90038329])"
188,Arotec Diagnostics Ltd.,"array([2.71466928, 2.96090008])"
189,Christchurch Emergency Care Foundation,"array([2.59779653, 3.03074278])"
190,ARANZ Medical Scanning,"array([2.76239872, 3.08655786])"
191,Kotare Bioethics,"array([2.71147712, 2.90921655])"
192,New Zealand Red Cross,"array([2.60356084, 2.81895162])"
193,Te Ngahere Ltd,"array([2.58629142, 2.97149578])"
194,Powell Geosciences Ltd.,"array([2.81909048, 3.01724913])"
195,Construction Techniques Ltd.,"array([2.66190815, 3.10603294])"
196,Colmar Brunton,"array([2.52337086, 3.14946042])"
197,Lincoln University,"array([2.63981338, 2.96378549])"
198,Worldwise Travellers Health and Vaccination Centre,"array([2.6471357 , 3.13782501])"
199,ANZCO Foods Ltd.,"array([2.6850666 , 2.84514566])"
200,Rakon Ltd.,"array([2.5442882 , 3.16709689])"
201,New Zealand Breast Cancer Foundation,"array([2.6781523, 3.1337541])"
202,Aquanet Consulting Ltd.,"array([2.53502365, 2.88030947])"
203,Duncan Cotterill,"array([2.73670853, 3.13647455])"
204,Infoics Limited,"array([2.59621588, 2.89077343])"
205,Pingar Research,"array([2.77838163, 2.91489389])"
206,Hepatitis Foundation of New Zealand,"array([2.59825969, 3.03995975])"
207,Rape Prevention Education-Whakatu Mauri,"array([2.54638278, 2.99051431])"
208,CBG Health Research Limited,"array([2.60827217, 3.1025686 ])"
209,Re:Search Limited,"array([2.56013392, 2.9331468 ])"
210,Sport Waikato,"array([2.56261807, 3.00740649])"
211,Innate Immunotherapeutics Limited,"array([2.64082749, 3.04153041])"
212,Better Border Biosecurity,"array([2.62613605, 2.88843057])"
213,Photonz Corporation Ltd,"array([2.45087109, 3.11479082])"
214,Pasifika Horizon Healthcare,"array([2.50836113, 3.07479003])"
215,Lateral Technology,"array([2.52934004, 3.16597203])"
216,Hutt Valley District Health Board,"array([2.60265242, 3.05393682])"
217,Care of Orca Research Trust,"array([2.52424525, 2.75791108])"
218,University of Otago,"array([2.65822878, 3.07489312])"
219,New Zealand National Eye Bank,"array([2.53776089, 3.19945959])"
220,Rayonier New Zealand Ltd,"array([2.62120044, 3.11864327])"
221,CORE Education Ltd.,"array([2.66416633, 3.03383927])"
222,New Zealand National Forensic Pathology Service,"array([2.69586046, 3.13778877])"
223,Carbon Partnership,"array([2.72182772, 2.84889367])"
224,Pacific Health Research and Development Foundation,"array([2.53016951, 2.97796061])"
225,Lake Hawea Institute of Cryodynamics,"array([2.7529723 , 3.03655082])"
226,Manurewa South School,"array([2.47087446, 3.06557221])"
227,HortPlus,"array([2.57617425, 2.91212323])"
228,Transfield Services,"array([2.78868854, 3.15492675])"
229,New Zealand Medical Association,"array([2.62359568, 3.15086076])"
230,Rangiora Veterinary Centre,"array([2.69309398, 3.01310802])"
231,New Zealand Register of Exercise Professionals,"array([2.49091188, 2.95772744])"
232,Cromwell College,"array([2.78252369, 3.05023582])"
233,New Zealand Rock Lobster Industry Council (NZ RLIC),"array([2.94000251, 2.26046203])"
234,Spray-tec,"array([2.59362105, 2.86525602])"
235,Palmerston North City Library,"array([2.76534871, 3.05925379])"
236,Pacific Radiology Group,"array([2.6201223 , 3.08011541])"
237,Philosophy of Education Society of Australasia,"array([2.50881873, 3.08399667])"
238,Eudyptes EcoConsulting Ltd,"array([2.71241021, 3.0354064 ])"
239,McManus Geotech Ltd.,"array([2.72669368, 2.99833988])"
240,Horteye Ltd,"array([2.52299711, 2.88407294])"
241,Heke Consulting,"array([2.46338436, 3.08788963])"
242,CLIMsystems Ltd.,"array([2.79748507, 2.96433808])"
243,Northland District Health Board,"array([2.61836049, 3.07429895])"
244,Lion Foundation House,"array([2.47797511, 2.94367233])"
245,Benthic Science Ltd.,"array([2.7252302 , 3.04491214])"
246,Levin and Horowhenua Veterinary Centre,"array([2.52583528, 2.93090686])"
247,Glass Earth Gold Ltd,"array([2.66762626, 3.17864473])"
248,ICL Business School,"array([2.50972185, 2.93591346])"
249,Repromed,"array([2.59161967, 3.05940759])"
250,National Heart Foundation of New Zealand,"array([2.58869774, 3.04055515])"
251,Real Time Genomics,"array([2.68512998, 3.83793995])"
252,New Zealand Academy of Sport,"array([2.60926724, 3.00428193])"
253,Bomac Laboratories Ltd,"array([2.57438095, 2.95299115])"
254,New Zealand Heavy Engineering Research Association,"array([2.67422065, 3.07834451])"
255,Tonkin and Taylor Ltd.,"array([2.6595507 , 2.97923836])"
256,Telemetry Research Ltd.,"array([2.54703481, 3.13542299])"
257,Alphalabs,"array([2.61070511, 2.93458602])"
258,Fletcher Construction Co,"array([2.57324119, 3.15634291])"
259,Palmerston North City Council,"array([2.53652988, 2.90382613])"
260,Immunisation Advisory Centre,"array([2.52335916, 3.10030094])"
261,Air New Zealand,"array([2.58867631, 3.06625009])"
262,Te Kauwhata College,"array([2.72007086, 2.90735162])"
263,Chilton Saint James School,"array([1.82635756, 2.87649865])"
264,Campbell and Associates Ltd.,"array([2.49631582, 2.87183278])"
265,Cawthron Institute,"array([2.66085336, 2.96736363])"
266,Biotelliga Ltd,"array([2.71752367, 2.83702414])"
267,ERA Ecology,"array([2.68400028, 2.97237005])"
268,Keraplast Research,"array([2.71927164, 3.11647537])"
269,Good Life Research Centre Trust,"array([2.57200598, 3.01350803])"
270,Education Review Office,"array([2.44746116, 3.04148392])"
271,Hamilton Eye Clinic,"array([2.4723252 , 3.01052458])"
272,Airborne Honey Ltd.,"array([2.75119948, 3.0858183 ])"
273,AgriNova NZ Ltd,"array([2.52081868, 2.89254888])"
274,Visible Learning Research Lab,"array([2.58710053, 2.87623205])"
275,Petersgate Counselling Centre,"array([2.81456307, 3.0510167 ])"
276,South Seas Primary Healthcare,"array([2.57938126, 3.07318554])"
277,Aerocool Ltd.,"array([2.78722284, 2.96833927])"
278,Meridian Energy Ltd.,"array([2.72908837, 3.03820102])"
279,New Zealand Winegrowers,"array([2.57939998, 2.97675783])"
280,Ka Mau Te Wero,"array([2.74114697, 2.87479896])"
281,Waikato Institute of Technology,"array([2.50998894, 2.96545004])"
282,Earthquake Commission,"array([2.65807148, 3.03054746])"
283,AUT University,"array([2.58190671, 3.00256356])"
284,New Zealand BioSecure Entomology Laboratory Research,"array([2.68413293, 2.9643453 ])"
285,Auckland Refugee Community Coalition,"array([2.48568156, 3.14778116])"
286,Equine Health Association,"array([2.67441403, 2.85592754])"
287,Member International Neuropsychological Society,"array([2.73500107, 3.16597071])"
288,Alzheimers Northland,"array([3.39566323, 2.72479408])"
289,Muscular Dystrophy Association of New Zealand,"array([2.59492091, 3.05193433])"
290,Taranaki Veterinary Centre,"array([2.54809271, 2.85752964])"
291,Newman Energy Research,"array([2.8238864 , 3.03509532])"
292,Vernon Willey Trust Fellow,"array([2.69644356, 2.84487098])"
293,Carter Holt Harvey Ltd.,"array([2.70765014, 3.14136798])"
294,Kiwicap Research Ltd,"array([2.54476841, 3.83536688])"
295,Mountains to Sea Conservation Trust,"array([2.60126474, 2.97517404])"
296,New Zealand Forest Surveys,"array([2.67799344, 2.89472854])"
297,Waitemata District Health Board,"array([2.60593934, 3.08967618])"
298,Financial Markets Authority,"array([2.76450287, 3.04963584])"
299,Te Aho Tapu Trust-Psychological Services,"array([2.56040444, 3.19390432])"
300,ECG Consultants,"array([2.59695401, 2.83930858])"
301,Noke Ltd.,"array([2.76143816, 3.20597112])"
302,Pansophy Ltd,"array([2.67956245, 2.9292426 ])"
303,TrustPower Ltd.,"array([2.79470619, 3.05346569])"
304,Simulenz Limited,"array([2.66655844, 3.22318693])"
305,Eastern Suburbs Association Football Club (ESAFC),"array([2.53815489, 2.98195472])"
306,Tristram Clinic,"array([2.54453887, 2.97300156])"
307,Kea Conservation Trust,"array([2.66213097, 2.92525258])"
308,BirdLife Global Seabird Programme,"array([2.68378889, 2.90397811])"
309,Psychology Centre,"array([2.52434917, 3.05734306])"
310,Clendon Burns and Park Consulting Engineers,"array([2.76597655, 2.97486297])"
311,Best Practice Advocacy Centre,"array([2.61909845, 3.14240495])"
312,P.N. Plimmer and Associ.,"array([2.49050733, 3.03018144])"
313,New Zealand National LCP Office,"array([2.56854846, 3.0955824 ])"
314,Insights MSD,"array([2.76056071, 3.09940282])"
315,Titanium Industry Development Association Inc. (TiDA),"array([2.7763312 , 2.90363629])"
316,Dynatest,"array([2.63678601, 3.05419685])"
317,Consulting Dietitians Ltd.,"array([2.52680662, 3.1084625 ])"
318,Towers Consulting,"array([2.67436357, 2.84202945])"
319,MorVet Limited,"array([2.62126957, 2.84492013])"
320,Ports of Auckland Limited,"array([2.48505799, 3.10861775])"
321,Christchurch Psychologists' Office,"array([2.71979096, 3.10575987])"
322,Diagnostic Laboratory,"array([2.55098606, 3.08716575])"
323,Tissue Mechanics Laboratory,"array([2.48743484, 3.04693366])"
324,Eco-Vista Photography and Research Ltd.,"array([2.65792048, 3.01605477])"
325,NZFOCUS (NZ) Ltd.,"array([2.50253467, 3.10969259])"
326,Rock Engineering Consultant,"array([2.81612347, 2.94664862])"
327,Feilding Medical Centre,"array([2.53265874, 3.06288498])"
328,IAC IP Limited,"array([2.49933787, 2.93358078])"
329,Magnolia Press,"array([2.72773987, 2.85998072])"
330,New Image Group Ltd,"array([2.48774591, 3.06494297])"
331,Tuakau College,"array([2.46647328, 3.10551394])"
332,Lowe NZ,"array([2.74058964, 2.88779464])"
333,Te Roopu A Iwi O Te Arawa Charitable Trust,"array([2.52835591, 2.99865698])"
334,Broadway Medical Centre,"array([2.52885072, 3.07924923])"
335,John Wood Consulting,"array([2.67299332, 3.0988185 ])"
336,Ministry of Education,"array([2.64847494, 3.02402908])"
337,St George's Medical Centre,"array([2.65247142, 3.08687971])"
338,Kaikorai Valley College,"array([2.74362298, 3.15935981])"
339,NetSafe,"array([2.53586266, 3.17235542])"
340,Asphalt Products Limited,"array([2.79039725, 3.07055231])"
341,Ancare Scientific Ltd,"array([2.58979535, 3.00223964])"
342,Melt Tools Ltd.,"array([2.48462203, 2.96499136])"
343,Nelson Marlborough Institute of Technology,"array([2.64085024, 3.00601791])"
344,Neurological Foundation of New Zealand,"array([2.47903762, 3.01854715])"
345,Logjiztix Ltd,"array([2.74562496, 2.92610651])"
346,White Cross Healthcare Ltd,"array([2.56624192, 3.10406897])"
347,Office of the Parliamentary Commissioner for the Environment,"array([2.70094487, 3.00252195])"
348,Pharmacy Guild of New Zealand,"array([2.49046162, 3.01129857])"
349,NIWA,"array([2.67166216, 2.97533259])"
350,New Zealand Association of Optometrists,"array([2.64846176, 2.9479223 ])"
351,Centre for Backyard Astrophysics,"array([2.61920236, 3.00045044])"
352,University of Waikato,"array([2.69165745, 2.97974099])"
353,Pulp Mill Technical Group,"array([2.75940052, 3.21935677])"
354,Ngati Porou Hauora,"array([2.45608426, 3.05856144])"
355,Centre for Clinical Research and Effective Practice,"array([2.57164145, 3.03145848])"
356,Humes Pipeline Systems,"array([2.4750693 , 3.14931118])"
357,Synergenz Biosciences Ltd,"array([2.60525466, 3.11903247])"
358,New Zealand Institute of Rural Health,"array([2.61359029, 3.12531332])"
359,Gentrack Limited,"array([2.74314725, 3.04035326])"
360,Orokonui Ecosanctuary,"array([2.72541133, 3.07550223])"
361,Downer EDI Works Limited,"array([2.6176446 , 2.92881708])"
362,Ministry of Pacific Island Affairs,"array([2.64017059, 3.02728689])"
363,Central City Vets,"array([2.60660172, 2.83826014])"
364,Agvance Marketing Ltd.,"array([2.63046681, 2.87326389])"
365,Food and Bio-based Products Group,"array([2.59040249, 2.90225555])"
366,Explore NZ,"array([2.55295201, 2.8825381 ])"
367,Quadradix,"array([2.44446774, 3.09443748])"
368,Aotearoa Alcohol and Other Drug Consumer Network,"array([2.59554034, 3.13063223])"
369,New Zealand Familial Gastrointestinal Cancer Service,"array([2.60324123, 3.02924132])"
370,Pattle Delamore Partners Ltd,"array([2.75813354, 3.07654238])"
371,Living Cell Technologies NZ Ltd.,"array([2.53626503, 3.08712209])"
372,Hanham Consultants,"array([2.45746838, 3.0395231 ])"
373,Yellow-eyed Penguin Trust,"array([2.70960013, 3.04264364])"
374,West Fono Health Trust,"array([2.57857727, 3.20466718])"
375,Qnique Ltd,"array([2.65033736, 3.07907545])"
376,Agile Utilities New Zealand Ltd,"array([2.55652362, 2.87324883])"
